着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,race_id,着順,枠番,馬番,人気
1,2.0,2.0,クリアミッション,牡3,56.0,大庭和弥,1:20.4,,9.4,5.0,506(+2),[東] 土田稔,202005010101,,,,
2,1.0,1.0,エストラード,牡3,56.0,江田照男,1:20.4,アタマ,8.3,4.0,478(+2),[東] 武市康男,202005010101,,,,
3,5.0,9.0,マッチャパフェ,牝3,54.0,武藤雅,1:20.4,アタマ,10.5,6.0,446(-4),[東] 林徹,202005010101,,,,
4,3.0,4.0,コルニリア,牡3,56.0,嘉藤貴行,1:20.6,3/4,19.3,9.0,440(+2),[東] 大和田成,202005010101,,,,
5,7.0,12.0,ローズオブシャロン,牝3,54.0,石橋脩,1:20.6,クビ,7.3,3.0,458(0),[東] 大竹正博,202005010101,,,,
6,3.0,5.0,バーンパッション,牡3,56.0,大野拓弥,1:20.7,クビ,20.2,10.0,468(+2),[東] 中川公成,202005010101,,,,
7,6.0,10.0,ユタカサン,牡3,56.0,吉田豊,1:20.7,アタマ,17.4,8.0,486(+8),[東] 竹内正洋,202005010101,,,,
8,4.0,7.0,サイモンバトラー,牡3,56.0,田辺裕信,1:20.7,ハナ,15.0,7.0,462(+12),[東] 矢野英一,202005010101,,,,
9,4.0,6.0,コパノラクラク,牝3,54.0,宮崎北斗,1:20.8,1/2,97.2,12.0,442(+4),[東] 和田勇介,202005010101,,,,
10,8.0,14.0,コーラルティアラ,牝3,54.0,横山典弘,1:20.8,アタマ,3.4,1.0,460(-2),[東] 和田勇介,202005010101,,,,
11,2.0,3.0,ストームファルコン,牡3,56.0,Ｍ．デム,1:20.9,3/4,4.4,2.0,472(+2),[東] 水野貴広,202005010101,,,,
12,8.0,15.0,マサノゴールデン,牝3,54.0,北村宏司,1:21.4,3,31.4,11.0,476(-18),[東] 木村哲也,202005010101,,,,
13,5.0,8.0,マインレッド,牝3,54.0,菅原隆一,1:23.1,大,451.2,15.0,436(+8),[東] 小野次郎,202005010101,,,,
14,6.0,11.0,アイアンカレン,牝3,54.0,丹内祐次,1:23.7,3.1/2,271.9,13.0,408(+2),[東] 青木孝文,202005010101,,,,
15,7.0,13.0,サンテンプル,牝3,53.0,野中悠太,1:26.2,大,389.3,14.0,418(-6),[東] 伊藤伸一,202005010101,,,,
1,8.0,16.0,エヴァジョーネ,牝3,54.0,武豊,1:27.2,,8.0,3.0,428(0),[西] 安田翔伍,202005010102,,,,
2,3.0,6.0,ラブアドベンチャー,牝3,54.0,横山典弘,1:27.3,1/2,12.9,4.0,468(0),[東] 尾関知人,202005010102,,,,
3,1.0,1.0,ヴィエントアスール,牡3,56.0,ルメール,1:27.3,クビ,4.2,2.0,470(0),[西] 鈴木孝志,202005010102,,,,
4,6.0,11.0,ムーンダイアローグ,牡3,56.0,ミナリク,1:27.6,2,20.4,6.0,436(0),[東] 矢野英一,202005010102,,,,
5,5.0,9.0,キアナポラリス,牝3,54.0,柴田善臣,1:28.2,3.1/2,67.1,8.0,432(0),[東] 国枝栄,202005010102,,,,
6,5.0,10.0,ジャックオレンジ,牡3,55.0,野中悠太,1:28.2,アタマ,37.6,7.0,482(0),[東] 武井亮,202005010102,,,,
7,4.0,7.0,ワンチーム,牡3,54.0,木幡育也,1:28.4,1.1/4,78.7,9.0,458(0),[東] 清水英克,202005010102,,,,
8,7.0,13.0,マテンロウヴァモス,牡3,56.0,マーフィ,1:28.6,1.1/2,1.6,1.0,512(0),[西] 藤原英昭,202005010102,,,,
9,2.0,3.0,エメラルディ,牝3,54.0,横山和生,1:29.7,7,16.2,5.0,484(0),[東] 勢司和浩,202005010102,,,,
10,6.0,12.0,ウインオーサム,牡3,56.0,松岡正海,1:29.7,クビ,105.2,11.0,462(0),[東] 中舘英二,202005010102,,,,
11,8.0,15.0,ジニービーチ,牝3,54.0,丹内祐次,1:29.7,ハナ,153.6,13.0,480(0),[東] 上原博之,202005010102,,,,
12,2.0,4.0,ベルダリーター,牝3,54.0,嘉藤貴行,1:30.4,4,79.8,10.0,466(0),[東] 水野貴広,202005010102,,,,
13,4.0,8.0,サンディロン,牝3,54.0,田中勝春,1:30.5,クビ,163.9,14.0,426(0),[東] 宗像義忠,202005010102,,,,
14,7.0,14.0,ツウカイヴィータ,牝3,54.0,石川裕紀,1:30.8,1.3/4,108.7,12.0,454(0),[東] 高橋裕,202005010102,,,,
15,3.0,5.0,マリノエヴァ,牝3,54.0,菅原隆一,1:31.5,4,325.1,16.0,426(0),[東] 的場均,202005010102,,,,
