着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,7,14,サンディブロンド,牝3,55.0,戸崎圭太,1:12.6,,4.2,3.0,466(-12),[東] 田中博康,202406010101
2,4,7,マイネルディレクト,牡3,57.0,丹内祐次,1:12.8,1,8.4,5.0,496(+6),[東] 高橋裕,202406010101
3,8,16,セイウンチドリ,牝3,55.0,三浦皇成,1:13.2,2.1/2,15.3,6.0,446(-6),[東] 村田一誠,202406010101
4,2,4,グリントリッター,セ3,57.0,石川裕紀,1:13.2,クビ,3.9,2.0,420(+2),[東] 深山雅史,202406010101
5,6,12,マニーブルース,牡3,57.0,吉田豊,1:13.3,1,50.9,9.0,458(+4),[東] 小手川準,202406010101
6,8,15,ニシノリピート,牝3,55.0,田辺裕信,1:13.7,2.1/2,42.5,8.0,462(0),[東] 小島茂之,202406010101
7,1,2,ミッキードラマー,牡3,57.0,菊沢一樹,1:13.7,クビ,7.8,4.0,528(+4),[東] 菊沢隆徳,202406010101
8,6,11,イデアガウディ,牡3,57.0,横山武史,1:13.9,3/4,3.3,1.0,484(+6),[東] 中野栄治,202406010101
9,5,9,サナダ,牡3,56.0,佐々木大,1:14.1,1.1/2,15.8,7.0,486(0),[東] 杉浦宏昭,202406010101
10,7,13,クインタレッリ,牡3,56.0,永野猛蔵,1:14.6,3,125.7,12.0,502(+10),[東] 尾形和幸,202406010101
11,5,10,ダイシンペルル,牝3,55.0,大野拓弥,1:14.8,1.1/4,269.0,14.0,468(+6),[東] 小笠倫弘,202406010101
12,4,8,スターリーアイド,牡3,53.0,小林美駒,1:14.9,アタマ,84.6,10.0,440(+8),[東] 鈴木伸尋,202406010101
13,3,5,ラスジャン,牡3,57.0,内田博幸,1:15.3,2.1/2,107.1,11.0,460(-4),[東] 上原博之,202406010101
14,2,3,エテルノアキーロ,牡3,57.0,黛弘人,1:16.2,5,422.9,16.0,456(-4),[東] 中野栄治,202406010101
15,3,6,ツクバアプローズ,牝3,55.0,柴田大知,1:16.2,クビ,235.8,13.0,476(+8),[東] 和田雄二,202406010101
16,1,1,コーストガード,牡3,54.0,佐藤翔馬,1:16.8,3.1/2,421.5,15.0,470(+2),[東] 青木孝文,202406010101
1,6,12,ファイントパーズ,牝3,51.0,小林美駒,1:56.0,,7.3,3.0,460(-10),[東] 鈴木伸尋,202406010102
2,4,7,ゴールドアローン,牝3,55.0,野中悠太,1:56.4,2,43.3,8.0,456(-2),[東] 青木孝文,202406010102
3,6,11,カフェアローロ,牝3,54.0,永野猛蔵,1:56.4,アタマ,14.7,5.0,494(+4),[東] 古賀慎明,202406010102
4,7,14,カピリナ,牝3,55.0,戸崎圭太,1:56.5,1/2,3.0,2.0,468(-8),[東] 田島俊明,202406010102
5,3,6,セージグリーン,牝3,54.0,佐々木大,1:56.7,1.1/4,2.1,1.0,472(-6),[東] 菊川正達,202406010102
6,3,5,ビーナスライズ,牝3,54.0,原優介,1:56.9,1.1/4,10.8,4.0,480(-4),[東] 小手川準,202406010102
7,5,9,ラブショック,牝3,52.0,水沼元輝,1:57.1,1,216.8,14.0,470(+8),[東] 加藤和宏,202406010102
8,4,8,ファーマシャイン,牝3,52.0,小林勝太,1:58.9,大,505.5,16.0,440(-2),[東] 武井亮,202406010102
9,8,15,マツリボタン,牝3,53.0,小林凌大,1:59.3,2.1/2,125.9,11.0,450(-2),[東] 伊藤圭三,202406010102
10,5,10,アートハラン,牝3,55.0,キング,1:59.6,1.3/4,102.7,10.0,442(+4),[東] 大竹正博,202406010102
11,1,1,マーゴットエクラ,牝3,55.0,丸田恭介,1:59.7,クビ,152.8,12.0,458(-2),[東] 伊坂重信,202406010102
12,2,4,クインズスピカ,牝3,55.0,江田照男,2:00.2,3,18.1,6.0,466(+12),[東] 村田一誠,202406010102
13,8,16,ウインアリス,牝3,55.0,キングス,2:00.8,3.1/2,28.2,7.0,460(+8),[東] 上原博之,202406010102
14,2,3,ミルフルール,牝3,55.0,伊藤工真,2:00.8,ハナ,361.9,15.0,482(-4),[東] 伊坂重信,202406010102
15,7,13,オーシンダイヤ,牝3,55.0,津村明秀,2:01.7,5,177.4,13.0,448(-6),[東] 鈴木慎太,202406010102
16,1,2,ニシノフルール,牝3,55.0,大野拓弥,2:03.2,9,49.5,9.0,460(0),[東] 杉浦宏昭,202406010102
1,8,15,フェデラルスタイル,牝3,55.0,津村明秀,1:13.5,,11.2,5.0,388(0),[東] 鈴木伸尋,202406010103
2,6,12,マンウォル,牝3,55.0,菊沢一樹,1:13.5,ハナ,7.7,4.0,434(0),[東] 菊沢隆徳,202406010103
3,3,5,ミューシグ,牝3,55.0,黛弘人,1:13.9,2,121.5,14.0,472(0),[東] 南田美知,202406010103
4,2,4,ジェットブレイク,牡3,57.0,内田博幸,1:13.9,クビ,16.3,6.0,488(0),[東] 斎藤誠,202406010103
5,4,8,ヒカルエリザベス,牝3,55.0,的場勇人,1:14.2,1.3/4,66.2,12.0,478(0),[東] 的場均,202406010103
6,5,10,マンマミーア,牡3,57.0,柴田大知,1:14.5,1.1/2,4.9,3.0,466(0),[東] 深山雅史,202406010103
7,6,11,ニシノデスティーノ,セ3,55.0,小林脩斗,1:14.6,1/2,38.8,9.0,468(0),[東] 武藤善則,202406010103
8,2,3,ケイティブルーム,牝3,52.0,小林勝太,1:14.7,3/4,88.8,13.0,444(0),[東] 小野次郎,202406010103
9,8,16,ホウオウバラード,牡3,57.0,吉田豊,1:14.7,クビ,18.4,7.0,408(0),[東] 田島俊明,202406010103
10,5,9,ビアメントブラスト,牝3,55.0,木幡巧也,1:14.7,ハナ,37.8,8.0,448(0),[東] 本間忍,202406010103
11,4,7,ソウテンノヒカリ,牡3,55.0,藤田菜七,1:15.1,2.1/2,3.0,1.0,470(0),[東] 小笠倫弘,202406010103
12,7,13,ユズノキ,牝3,55.0,ピーヒュ,1:15.3,1,3.9,2.0,456(0),[東] 奥村武,202406010103
13,7,14,アイリータイム,牝3,55.0,荻野極,1:15.4,1/2,48.6,10.0,494(0),[東] 畠山吉宏,202406010103
14,1,2,エルキーオ,牡3,57.0,大野拓弥,1:15.7,1.3/4,62.0,11.0,482(0),[東] 新開幸一,202406010103
15,3,6,キャラメルコード,牝3,55.0,杉原誠人,1:15.7,アタマ,181.5,15.0,390(0),[東] 加藤和宏,202406010103
取,1,1,ガラスノイチゴ,牝3,55.0,武士沢友,,,---,,計不,[東] 小桧山悟,202406010103
1,2,4,マコタイガ,牡3,57.0,吉田豊,1:57.8,,58.6,11.0,496(0),[東] 小野次郎,202406010104
2,3,5,ラブラドライト,牡3,55.0,小林脩斗,1:57.9,クビ,117.6,13.0,472(0),[東] 武藤善則,202406010104
3,1,2,タイキオナード,牡3,56.0,原優介,1:58.1,1.1/2,13.9,6.0,478(0),[東] 高木登,202406010104
4,7,14,プラチナバンド,牡3,57.0,大野拓弥,1:58.2,クビ,13.5,5.0,516(0),[東] 新開幸一,202406010104
5,5,9,レッドスフェーン,セ3,57.0,ピーヒュ,1:58.2,ハナ,7.9,3.0,436(0),[東] 林徹,202406010104
6,8,16,カミノケンシン,牡3,55.0,小林凌大,1:58.9,4,130.2,14.0,474(0),[東] 奥平雅士,202406010104
7,5,10,キツネノヨメイリ,牝3,55.0,菅原明良,1:59.0,クビ,8.7,4.0,492(0),[東] 上原佑紀,202406010104
8,2,3,ネオクラウン,牡3,57.0,津村明秀,1:59.3,2,43.4,10.0,484(0),[東] 鈴木伸尋,202406010104
9,1,1,ノアファラオ,牡3,57.0,柴田善臣,1:59.5,1,148.6,15.0,450(0),[東] 石毛善彦,202406010104
10,4,8,ビッグロゴスルーフ,牡3,57.0,柴田大知,1:59.5,ハナ,96.2,12.0,486(0),[東] 田中剛,202406010104
