race_id,race_title,course_len_type,weather_text,condition_text,着順,枠番,馬番,馬名,騎手,タイム,斤量,調教師,性齢,馬体重
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",1,,3,ショウナンカリス,北村友,1:08.9,408(+4),"美浦


加藤士",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",2,,4,ファニーバニー,鮫島駿,1:09.1,428(+4),"栗東


杉山佳",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",3,,2,ハルヒメ,▲小林美,1:09.1,388(-14),"美浦


矢嶋",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",4,,6,カンレイスター,荻野琢,1:09.9,434(-8),"美浦


矢野",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",5,,8,ココソラーレ,▲鷲頭,1:10.1,424(-4),"美浦


天間",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",6,,8,ストームサンダー,丹内,1:10.2,454(-2),"栗東


安達",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",7,,7,サンタカリス,黛,1:10.2,436(+8),"栗東


秋山",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",8,,6,トーセンクリステル,▲舟山,1:10.4,460(0),"美浦


杉浦",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",9,,5,モズプリフォール,佐々木,1:10.4,488(-2),"栗東


矢作",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",10,,7,オンマイビート,▲和田陽,1:10.6,450(+8),"美浦


松山",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",11,,5,ナムラシンジロー,▲古川奈,1:11.1,426(+6),"栗東


羽月",,
202501010101,202501010101,"09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良","09:55発走 / 芝1200m (右 A)
/ 天候:曇
/ 馬場:良",12,,1,セイウンダイフク,池添,1:11.4,428(-6),"栗東


宮本",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",1,,7,エンジェルラダー,佐々木,0:59.5,488(+2),"美浦


木村",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",2,,2,タイセイアビリティ,斎藤,0:59.5,472(-4),"栗東


小林",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",3,,8,ラピルスイメル,▲古川奈,0:59.6,504(0),"栗東


小崎",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",4,,6,サツキレジーナ,古川吉,0:59.6,418(-6),"美浦


石栗",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",5,,5,レイアポポ,丹内,1:00.0,462(-6),"美浦


青木",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",6,,5,サラサエンペラー,黛,1:00.1,468(-4),"美浦


村田",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",7,,4,キャットデイ,川又,1:00.2,424(-4),"栗東


吉村",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",8,,7,タイセイルーマー,鮫島駿,1:00.3,466(+2),"美浦


斎藤誠",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",9,,1,ユウグレ,▲舟山,1:00.7,440(-12),"美浦


宮田",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",10,,6,コッコラーレ,▲小林美,1:00.8,484(-2),"栗東


鈴木孝",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",11,,8,グランヴァルール,▲柴田裕,1:00.9,462(-12),"美浦


千葉",,
202501010102,202501010102,"10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良","10:30発走 / ダ1000m (右)
/ 天候:曇
/ 馬場:良",12,,3,グロリオン,▲森田,1:00.9,478(-12),"栗東


牧田",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",1,,7,ディアウス,北村友,1:45.6,452(+4),"栗東


吉岡",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",2,,8,ジョードリウム,丹内,1:45.9,506(-10),"栗東


清水久",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",3,,4,オオタチ,横山武,1:46.3,450(-4),"美浦


久保田",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",4,,3,ネトル,斎藤,1:46.7,396(0),"栗東


高橋康",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",5,,8,オロパタジン,▲小林美,1:47.2,466(-4),"美浦


相沢",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",6,,6,キンセンオー,▲和田陽,1:47.4,486(0),"栗東


中尾",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",7,,7,ファジーロップ,佐々木,1:47.4,450(-8),"栗東


吉岡",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",8,,2,ジーティートゥルー,黛,1:47.5,444(-4),"美浦


田島",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",9,,4,サヨノミッキー,▲柴田裕,1:47.8,462(+2),"栗東


羽月",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",10,,6,タイセイバンクール,鮫島駿,1:47.8,456(+6),"栗東


西村",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",11,,3,ベイビーベリッシモ,古川吉,1:48.5,498(+10),"美浦


大和田",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",12,,5,カズナリ,▲鷲頭,1:48.7,490(0),"美浦


中舘",,
202501010103,202501010103,"11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良","11:00発走 / ダ1700m (右)
/ 天候:曇
/ 馬場:良",13,,1,ニッシンゲッポ,原田和,1:48.8,428(-4),"美浦


金成",,
